year,elections,teryt_code,powiat,gmina,political_party,n_votes,percentage
2007,sejm,020505,jaworski,"Paszowice, gm.",Komitet Wyborczy Platforma Obywatelska RP,395,31.52
2007,sejm,020505,jaworski,"Paszowice, gm.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,170,13.57
2007,sejm,020505,jaworski,"Paszowice, gm.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,27,2.15
2007,sejm,020505,jaworski,"Paszowice, gm.",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,113,9.02
2007,sejm,020506,jaworski,"Wądroże Wielkie, gm.",Komitet Wyborczy Polska Partia Pracy,16,1.33
2007,sejm,020506,jaworski,"Wądroże Wielkie, gm.",Komitet Wyborczy Liga Polskich Rodzin,15,1.25
2007,sejm,020506,jaworski,"Wądroże Wielkie, gm.",Komitet Wyborczy Prawo i Sprawiedliwość,286,23.83
2007,sejm,020506,jaworski,"Wądroże Wielkie, gm.",Komitet Wyborczy Platforma Obywatelska RP,331,27.58
2007,sejm,020506,jaworski,"Wądroże Wielkie, gm.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,335,27.92
2007,sejm,020506,jaworski,"Wądroże Wielkie, gm.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,56,4.67
2007,sejm,020506,jaworski,"Wądroże Wielkie, gm.",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,161,13.42
2007,sejm,020601,jeleniogórski,"Karpacz, m.",Komitet Wyborczy Polska Partia Pracy,21,0.88
2007,sejm,020601,jeleniogórski,"Karpacz, m.",Komitet Wyborczy Liga Polskich Rodzin,23,0.96
2007,sejm,020601,jeleniogórski,"Karpacz, m.",Komitet Wyborczy Prawo i Sprawiedliwość,451,18.90
2007,sejm,020601,jeleniogórski,"Karpacz, m.",Komitet Wyborczy Platforma Obywatelska RP,1377,57.71
2007,sejm,020601,jeleniogórski,"Karpacz, m.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,71,2.98
2007,sejm,020601,jeleniogórski,"Karpacz, m.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,15,0.63
2007,sejm,020601,jeleniogórski,"Karpacz, m.",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,428,17.94
2007,sejm,020602,jeleniogórski,"Kowary, m.",Komitet Wyborczy Polska Partia Pracy,60,1.28
2007,sejm,020602,jeleniogórski,"Kowary, m.",Komitet Wyborczy Liga Polskich Rodzin,43,0.92
2007,sejm,020602,jeleniogórski,"Kowary, m.",Komitet Wyborczy Prawo i Sprawiedliwość,1016,21.65
2007,sejm,020602,jeleniogórski,"Kowary, m.",Komitet Wyborczy Platforma Obywatelska RP,2338,49.82
2007,sejm,020602,jeleniogórski,"Kowary, m.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,177,3.77
2007,sejm,020602,jeleniogórski,"Kowary, m.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,51,1.09
2007,sejm,020602,jeleniogórski,"Kowary, m.",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,1008,21.48
2007,sejm,020603,jeleniogórski,"Piechowice, m.",Komitet Wyborczy Polska Partia Pracy,22,0.76
2007,sejm,020603,jeleniogórski,"Piechowice, m.",Komitet Wyborczy Liga Polskich Rodzin,15,0.52
2007,sejm,020603,jeleniogórski,"Piechowice, m.",Komitet Wyborczy Prawo i Sprawiedliwość,666,22.96
